"","year","total","positive","negative","veto"
"1",1947,20,0.4,0.35,0.25
"2",1949,54,0.240740740740741,0.62962962962963,0.12962962962963
"3",1952,12,0.0833333333333333,0.833333333333333,0.0833333333333333
"4",1953,22,0.363636363636364,0.409090909090909,0.227272727272727
"5",1955,10,0,0.7,0.3
"6",1957,23,0.130434782608696,0.652173913043478,0.217391304347826
"7",1959,41,0.317073170731707,0.390243902439024,0.292682926829268
"8",1961,37,0.27027027027027,0.459459459459459,0.27027027027027
"9",1962,11,0.545454545454545,0.363636363636364,0.0909090909090909
"10",1963,18,0.611111111111111,0.388888888888889,0
"11",1965,28,0.571428571428571,0.285714285714286,0.142857142857143
"12",1967,48,0.416666666666667,0.5625,0.0208333333333333
"13",1968,2,1,0,0
"14",1969,38,0.5,0.342105263157895,0.157894736842105
"15",1971,88,0.375,0.511363636363636,0.113636363636364
"16",1973,71,0.549295774647887,0.366197183098592,0.0845070422535211
"17",1975,74,0.513513513513513,0.364864864864865,0.121621621621622
"18",1977,87,0.67816091954023,0.28735632183908,0.0344827586206897
"19",1979,106,0.443396226415094,0.424528301886792,0.132075471698113
"20",1981,121,0.347107438016529,0.446280991735537,0.206611570247934
"21",1983,153,0.274509803921569,0.555555555555556,0.169934640522876
"22",1985,146,0.294520547945205,0.486301369863014,0.219178082191781
"23",1987,131,0.305343511450382,0.465648854961832,0.229007633587786
"24",1989,122,0.336065573770492,0.442622950819672,0.221311475409836
"25",1991,84,0.333333333333333,0.488095238095238,0.178571428571429
"26",1993,64,0.3125,0.421875,0.265625
"27",1995,76,0.315789473684211,0.473684210526316,0.210526315789474
"28",1996,2,0.5,0,0.5
"29",1997,77,0.311688311688312,0.467532467532468,0.220779220779221
"30",1998,2,0,0,1
"31",1999,79,0.265822784810127,0.493670886075949,0.240506329113924
"32",2000,1,0,0,1
"33",2001,80,0.2375,0.5625,0.2
"34",2002,1,0,0,1
"35",2003,67,0.17910447761194,0.522388059701492,0.298507462686567
"36",2004,3,0,0.666666666666667,0.333333333333333
"37",2005,74,0.135135135135135,0.594594594594595,0.27027027027027
"38",2006,2,0,0,1
"39",2007,95,0.115789473684211,0.621052631578947,0.263157894736842
"40",2008,2,0,0,1
"41",2009,92,0.260869565217391,0.608695652173913,0.130434782608696
"42",2010,4,0.25,0,0.75
"43",2011,87,0.252873563218391,0.632183908045977,0.114942528735632
"44",2012,1,0,1,0
"45",2013,83,0.216867469879518,0.63855421686747,0.144578313253012
"46",2014,2,0,0.5,0.5
