"","rcid","session","date","topic","China","France","Russia","United Kingdom","United States","consensus","veto_by","year"
"1",47,2,1947-10-05,"Human rights",2,1,3,1,1,"veto","Russia",1947
"2",51,2,1947-10-02,"Colonialism",2,3,1,3,3,"negative",NA,1947
"3",52,2,1947-11-06,"Colonialism",2,1,3,1,1,"veto","Russia",1947
"4",53,2,1947-11-06,"Colonialism",2,1,1,2,1,"postive",NA,1947
"5",54,2,1947-11-06,"Colonialism",2,1,1,3,1,"veto","United Kingdom",1947
"6",55,2,1947-11-06,"Colonialism",2,3,1,3,3,"negative",NA,1947
"7",56,2,1947-11-01,"Colonialism",2,1,3,1,1,"veto","Russia",1947
"8",57,2,1947-11-01,"Colonialism",2,1,3,1,1,"veto","Russia",1947
"9",58,2,1947-11-01,"Colonialism",2,3,1,3,3,"negative",NA,1947
"10",59,2,1947-11-05,"Colonialism",2,3,1,3,3,"negative",NA,1947
"11",74,2,1947-11-05,"Human rights",2,1,3,3,1,"negative",NA,1947
"12",75,2,1947-11-05,"Human rights",2,1,3,3,1,"negative",NA,1947
"13",76,2,1947-11-05,"Human rights",2,1,2,2,1,"postive",NA,1947
"14",77,2,1947-11-06,"Economic development",2,1,1,2,1,"postive",NA,1947
"15",77,2,1947-11-06,"Palestinian conflict",2,1,1,2,1,"postive",NA,1947
"16",176,4,1949-10-06,"Human rights",2,1,3,1,1,"veto","Russia",1949
"17",178,4,1949-11-05,"Colonialism",2,3,1,3,3,"negative",NA,1949
"18",179,4,1949-11-05,"Colonialism",2,1,1,3,1,"veto","United Kingdom",1949
"19",180,4,1949-11-05,"Colonialism",2,2,1,3,1,"veto","United Kingdom",1949
"20",181,4,1949-11-05,"Colonialism",2,3,1,3,1,"negative",NA,1949
"21",182,4,1949-11-06,"Economic development",2,1,1,1,1,"postive",NA,1949
"22",191,4,1949-11-04,"Colonialism",2,3,1,3,3,"negative",NA,1949
"23",192,4,1949-11-04,"Colonialism",2,3,1,3,3,"negative",NA,1949
"24",193,4,1949-11-04,"Colonialism",2,3,1,3,3,"negative",NA,1949
"25",194,4,1949-11-04,"Colonialism",2,2,2,1,1,"postive",NA,1949
"26",195,4,1949-11-04,"Colonialism",2,1,3,1,1,"veto","Russia",1949
"27",196,4,1949-11-04,"Colonialism",2,1,3,1,1,"veto","Russia",1949
"28",197,4,1949-11-04,"Colonialism",2,2,2,1,1,"postive",NA,1949
"29",198,4,1949-11-06,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1949
"30",198,4,1949-11-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1949
"31",199,4,1949-11-06,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1949
"32",199,4,1949-11-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1949
"33",200,4,1949-11-06,"Arms control and disarmament",2,3,1,3,3,"negative",NA,1949
"34",200,4,1949-11-06,"Nuclear weapons and nuclear material",2,3,1,3,3,"negative",NA,1949
"35",201,4,1949-11-01,"Economic development",2,2,1,2,3,"veto","United States",1949
"36",202,4,1949-11-01,"Economic development",2,2,1,2,2,"postive",NA,1949
"37",203,4,1949-11-01,"Economic development",2,2,1,2,2,"postive",NA,1949
"38",204,4,1949-11-01,"Economic development",2,2,1,2,2,"postive",NA,1949
"39",206,4,1949-11-01,"Economic development",2,2,1,2,2,"postive",NA,1949
"40",207,4,1949-11-01,"Economic development",2,2,1,2,2,"postive",NA,1949
"41",209,4,1949-11-01,"Arms control and disarmament",2,2,1,2,2,"postive",NA,1949
"42",210,4,1949-11-01,"Economic development",2,2,1,2,2,"postive",NA,1949
"43",211,4,1949-11-01,"Economic development",2,2,1,2,2,"postive",NA,1949
"44",212,4,1949-11-01,"Economic development",2,2,1,3,3,"negative",NA,1949
"45",213,4,1949-11-01,"Economic development",2,2,1,3,3,"negative",NA,1949
"46",214,4,1949-12-03,"Colonialism",2,3,1,3,2,"negative",NA,1949
"47",215,4,1949-12-03,"Colonialism",2,1,3,1,1,"negative",NA,1949
"48",215,4,1949-12-03,"Human rights",2,1,3,1,1,"negative",NA,1949
"49",216,4,1949-12-03,"Colonialism",2,1,3,1,1,"negative",NA,1949
"50",216,4,1949-12-03,"Human rights",2,1,3,1,1,"negative",NA,1949
"51",218,4,1949-12-07,"Colonialism",2,2,1,1,1,"postive",NA,1949
"52",219,4,1949-12-07,"Colonialism",2,3,1,3,3,"negative",NA,1949
"53",220,4,1949-12-07,"Colonialism",2,3,1,3,3,"negative",NA,1949
"54",221,4,1949-12-07,"Colonialism",2,2,1,2,2,"postive",NA,1949
"55",222,4,1949-12-07,"Colonialism",2,3,1,3,3,"negative",NA,1949
"56",223,4,1949-12-07,"Colonialism",2,3,1,2,3,"negative",NA,1949
"57",224,4,1949-12-07,"Colonialism",2,3,3,2,3,"negative",NA,1949
"58",227,4,1949-12-03,"Palestinian conflict",2,1,3,2,1,"veto","Russia",1949
"59",228,4,1949-12-03,"Palestinian conflict",2,3,3,1,1,"negative",NA,1949
"60",229,4,1949-12-03,"Palestinian conflict",2,1,1,3,3,"negative",NA,1949
"61",230,4,1949-12-03,"Palestinian conflict",2,1,1,3,3,"negative",NA,1949
"62",231,4,1949-12-03,"Palestinian conflict",2,1,1,3,3,"negative",NA,1949
"63",232,4,1949-12-03,"Palestinian conflict",2,1,1,3,3,"negative",NA,1949
"64",233,4,1949-12-03,"Palestinian conflict",2,1,1,3,3,"negative",NA,1949
"65",234,4,1949-12-03,"Palestinian conflict",2,1,1,3,3,"negative",NA,1949
"66",235,4,1949-12-03,"Palestinian conflict",2,1,1,3,3,"negative",NA,1949
"67",236,4,1949-12-03,"Palestinian conflict",2,1,1,3,3,"negative",NA,1949
"68",237,4,1949-12-03,"Palestinian conflict",2,1,1,3,3,"negative",NA,1949
"69",238,4,1949-12-03,"Colonialism",2,3,3,1,3,"negative",NA,1949
"70",300,6,1952-01-02,"Economic development",2,3,2,3,3,"negative",NA,1952
"71",301,6,1952-01-01,"Colonialism",2,3,3,3,3,"negative",NA,1952
"72",302,6,1952-01-01,"Colonialism",2,3,1,3,2,"negative",NA,1952
"73",303,6,1952-01-01,"Colonialism",2,3,1,3,2,"negative",NA,1952
"74",304,6,1952-01-01,"Colonialism",2,3,1,3,3,"negative",NA,1952
"75",305,6,1952-01-02,"Colonialism",2,3,3,3,2,"negative",NA,1952
"76",306,6,1952-01-02,"Colonialism",2,1,3,2,1,"veto","Russia",1952
"77",307,6,1952-01-02,"Colonialism",2,2,1,2,2,"postive",NA,1952
"78",312,6,1952-02-07,"Human rights",2,1,1,3,3,"negative",NA,1952
"79",313,6,1952-02-07,"Human rights",2,2,1,3,3,"negative",NA,1952
"80",314,6,1952-02-01,"Human rights",2,3,1,3,3,"negative",NA,1952
"81",315,6,1952-02-01,"Human rights",2,3,1,3,3,"negative",NA,1952
"82",366,8,1953-09-07,"Human rights",2,3,1,3,1,"negative",NA,1953
"83",367,8,1953-10-03,"Human rights",2,2,1,2,1,"postive",NA,1953
"84",368,8,1953-10-03,"Human rights",2,1,1,1,1,"postive",NA,1953
"85",369,8,1953-11-03,"Colonialism",2,2,1,2,1,"postive",NA,1953
"86",370,8,1953-11-03,"Colonialism",2,2,2,2,1,"postive",NA,1953
"87",371,8,1953-11-03,"Colonialism",2,2,1,2,3,"veto","United States",1953
"88",372,8,1953-11-03,"Colonialism",2,2,1,3,3,"negative",NA,1953
"89",373,8,1953-11-03,"Colonialism",2,2,1,3,2,"veto","United Kingdom",1953
"90",374,8,1953-11-03,"Colonialism",2,2,1,3,3,"negative",NA,1953
"91",375,8,1953-11-04,"Human rights",2,2,1,2,1,"postive",NA,1953
"92",376,8,1953-11-04,"Colonialism",2,2,1,3,2,"veto","United Kingdom",1953
"93",377,8,1953-11-04,"Colonialism",2,2,1,3,3,"negative",NA,1953
"94",378,8,1953-11-06,"Colonialism",2,1,3,1,1,"veto","Russia",1953
"95",379,8,1953-11-06,"Colonialism",2,3,1,3,3,"negative",NA,1953
"96",381,8,1953-11-07,"Colonialism",2,2,1,2,2,"postive",NA,1953
"97",382,8,1953-11-07,"Colonialism",2,3,3,2,1,"negative",NA,1953
"98",383,8,1953-11-07,"Colonialism",2,2,2,2,1,"postive",NA,1953
"99",384,8,1953-11-07,"Colonialism",2,2,1,2,1,"postive",NA,1953
"100",387,8,1953-12-05,"Human rights",2,1,3,1,2,"veto","Russia",1953
"101",388,8,1953-12-05,"Human rights",2,3,1,3,2,"negative",NA,1953
"102",389,8,1953-12-05,"Human rights",2,3,1,3,2,"negative",NA,1953
"103",390,8,1953-12-06,"Colonialism",2,3,1,3,3,"negative",NA,1953
"104",424,10,1955-09-03,"Colonialism",2,1,3,1,1,"veto","Russia",1955
"105",425,10,1955-09-03,"Colonialism",2,1,3,1,1,"veto","Russia",1955
"106",426,10,1955-10-01,"Colonialism",2,2,1,3,2,"veto","United Kingdom",1955
"107",429,10,1955-10-03,"Colonialism",2,2,3,3,1,"negative",NA,1955
"108",429,10,1955-10-03,"Economic development",2,2,3,3,1,"negative",NA,1955
"109",430,10,1955-10-03,"Colonialism",2,2,3,2,1,"negative",NA,1955
"110",430,10,1955-10-03,"Economic development",2,2,3,2,1,"negative",NA,1955
"111",436,10,1955-12-07,"Human rights",2,3,1,3,3,"negative",NA,1955
"112",454,10,1955-12-02,"Colonialism",2,3,1,3,3,"negative",NA,1955
"113",457,10,1955-12-02,"Colonialism",2,3,1,3,3,"negative",NA,1955
"114",506,12,1957-09-06,"Human rights",2,3,1,3,1,"negative",NA,1957
"115",508,12,1957-09-06,"Colonialism",2,3,1,3,2,"negative",NA,1957
"116",515,12,1957-10-01,"Colonialism",2,1,3,1,1,"veto","Russia",1957
"117",516,12,1957-11-03,"Arms control and disarmament",2,1,3,1,1,"negative",NA,1957
