"","year","topic","China","France","Russia","United Kingdom","United States"
"1",1947,"Colonialism",0,0.444444444444444,0.333333333333333,0.555555555555556,0.444444444444444
"2",1947,"Economic development",0,0,0,0,0
"3",1947,"Human rights",0,0,0.75,0.5,0
"4",1947,"Palestinian conflict",0,0.166666666666667,0,0.166666666666667,0.166666666666667
"5",1949,"Arms control and disarmament",0,0.75,0,0.75,0.75
"6",1949,"Colonialism",0,0.545454545454545,0.272727272727273,0.5,0.454545454545455
"7",1949,"Economic development",0,0,0,0.181818181818182,0.272727272727273
"8",1949,"Human rights",0,0,1,0,0
"9",1949,"Nuclear weapons and nuclear material",0,1,0,1,1
"10",1949,"Palestinian conflict",0,0.0909090909090909,0.181818181818182,0.818181818181818,0.818181818181818
"11",1952,"Colonialism",0,0.714285714285714,0.428571428571429,0.714285714285714,0.285714285714286
"12",1952,"Economic development",0,1,0,1,1
"13",1952,"Human rights",0,0.5,0,1,1
"14",1953,"Colonialism",0,0.2,0.133333333333333,0.466666666666667,0.4
"15",1953,"Human rights",0,0.428571428571429,0.142857142857143,0.428571428571429,0
"16",1955,"Colonialism",0,0.285714285714286,0.571428571428571,0.571428571428571,0.285714285714286
"17",1955,"Economic development",0,0,1,0.5,0
"18",1955,"Human rights",0,1,0,1,1
"19",1957,"Arms control and disarmament",0,0.4,0.6,0.4,0.4
"20",1957,"Colonialism",0,0.555555555555556,0.333333333333333,0.555555555555556,0.222222222222222
"21",1957,"Economic development",0,0,0.5,0,0
"22",1957,"Human rights",0,1,0,1,0
"23",1957,"Nuclear weapons and nuclear material",0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333
"24",1957,"Palestinian conflict",0,0.5,0,0.5,0.5
"25",1959,"Arms control and disarmament",0,0.5,0,0.25,0.25
"26",1959,"Colonialism",0,0.0526315789473684,0.157894736842105,0.421052631578947,0.315789473684211
"27",1959,"Economic development",0,0.166666666666667,0.5,0.166666666666667,0.166666666666667
"28",1959,"Human rights",0,0,0.333333333333333,0.333333333333333,0
"29",1959,"Nuclear weapons and nuclear material",0,0.888888888888889,0,0.666666666666667,0.666666666666667
"30",1961,"Arms control and disarmament",0,0.666666666666667,0.166666666666667,0.666666666666667,0.666666666666667
"31",1961,"Colonialism",0,0.25,0.333333333333333,0.25,0.25
"32",1961,"Economic development",0,0.6,0.2,0,0
"33",1961,"Human rights",0,1,0,1,1
"34",1961,"Nuclear weapons and nuclear material",0,0.555555555555556,0.444444444444444,0.555555555555556,0.555555555555556
"35",1961,"Palestinian conflict",0,0.5,0,0.5,0.5
"36",1962,"Colonialism",0,0.272727272727273,0.0909090909090909,0.363636363636364,0.363636363636364
"37",1963,"Arms control and disarmament",0,0.666666666666667,0,0.666666666666667,0.666666666666667
"38",1963,"Colonialism",0,0.166666666666667,0,0.166666666666667,0.166666666666667
"39",1963,"Economic development",0,1,1,0,0
"40",1963,"Human rights",0,0.25,0,0.25,0.25
"41",1963,"Nuclear weapons and nuclear material",0,0.5,0,0.5,0.5
"42",1963,"Palestinian conflict",0,0,0,0,0
"43",1965,"Arms control and disarmament",0,0,0,0.166666666666667,0.166666666666667
"44",1965,"Colonialism",0,0.2,0.133333333333333,0.4,0.466666666666667
"45",1965,"Human rights",0,0.333333333333333,0.333333333333333,0,0.333333333333333
"46",1965,"Nuclear weapons and nuclear material",0,0,0,0,0
"47",1965,"Palestinian conflict",0,0,0,0,0
"48",1967,"Arms control and disarmament",0,0,0,0,0
"49",1967,"Colonialism",0,0,0.0588235294117647,0.529411764705882,0.470588235294118
"50",1967,"Economic development",0,0.5,0.166666666666667,0.666666666666667,0.666666666666667
"51",1967,"Human rights",0,0.75,0,0.75,0.75
"52",1967,"Nuclear weapons and nuclear material",0,0.25,0,0.25,0.25
"53",1967,"Palestinian conflict",0,0,0.0714285714285714,0.642857142857143,0.642857142857143
"54",1968,"Arms control and disarmament",0,0,0,0,0
"55",1968,"Nuclear weapons and nuclear material",0,0,0,0,0
"56",1969,"Arms control and disarmament",0,0,0,0,0.5
"57",1969,"Colonialism",0,0.238095238095238,0.0476190476190476,0.238095238095238,0.380952380952381
"58",1969,"Economic development",0,0,0,1,1
"59",1969,"Human rights",0,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286
"60",1969,"Nuclear weapons and nuclear material",0,0,0,0,0
"61",1969,"Palestinian conflict",0,0,0,0.25,0.5
"62",1971,"Arms control and disarmament",0.416666666666667,0.166666666666667,0,0,0
